img,label
dea2063efae293ec.jpg,dea2063efae293ec.txt
6d6825319ac0a829.jpg,6d6825319ac0a829.txt
150a760752cde8dc.jpg,150a760752cde8dc.txt
6e1393c654b8de91.jpg,6e1393c654b8de91.txt
c4f14cc7fe2f2316.jpg,c4f14cc7fe2f2316.txt
e48bc53080c4da50.jpg,e48bc53080c4da50.txt
dcdc9a0497714f63.jpg,dcdc9a0497714f63.txt
824387935d8725ef.jpg,824387935d8725ef.txt
20e351b7814137cf.jpg,20e351b7814137cf.txt
686bfdce06982cb6.jpg,686bfdce06982cb6.txt
d61d061d205bba99.jpg,d61d061d205bba99.txt
766d871cb0157c56.jpg,766d871cb0157c56.txt
d09ca5cb931a5237.jpg,d09ca5cb931a5237.txt
e34dc242934dd53f.jpg,e34dc242934dd53f.txt
5c5af538d02cd8ae.jpg,5c5af538d02cd8ae.txt
89e3d84b6ee19671.jpg,89e3d84b6ee19671.txt
66ca71b72cbe73d1.jpg,66ca71b72cbe73d1.txt
4c9ebe2a82f074a9.jpg,4c9ebe2a82f074a9.txt
3457b66ff03de14d.jpg,3457b66ff03de14d.txt
83e603ed284be76a.jpg,83e603ed284be76a.txt
3e47191dad2107b6.jpg,3e47191dad2107b6.txt
77a538bfac632d40.jpg,77a538bfac632d40.txt
98093de103965ef7.jpg,98093de103965ef7.txt
a5c61ca9578010eb.jpg,a5c61ca9578010eb.txt
2a1a003f564f49b3.jpg,2a1a003f564f49b3.txt
053e9787ab07da14.jpg,053e9787ab07da14.txt
b448addab830e850.jpg,b448addab830e850.txt
07c785ae9a45acbf.jpg,07c785ae9a45acbf.txt
3737800102b4175b.jpg,3737800102b4175b.txt
c051ef8a09932eb1.jpg,c051ef8a09932eb1.txt
129e161f2664bd50.jpg,129e161f2664bd50.txt
805b0f1317868c15.jpg,805b0f1317868c15.txt
4f5ec0909b35769a.jpg,4f5ec0909b35769a.txt
0b6bb5f96efe4fef.jpg,0b6bb5f96efe4fef.txt
694584154b92d22c.jpg,694584154b92d22c.txt
3f7eb66d2b6ccca8.jpg,3f7eb66d2b6ccca8.txt
1e3f289670b745e2.jpg,1e3f289670b745e2.txt
b21aa9936242b061.jpg,b21aa9936242b061.txt
7ae3b49cae54b3fe.jpg,7ae3b49cae54b3fe.txt
77ce47f64708fa9f.jpg,77ce47f64708fa9f.txt
daf7719e85d17a84.jpg,daf7719e85d17a84.txt
38cf9680706f6121.jpg,38cf9680706f6121.txt
a4b18b465f6d3aee.jpg,a4b18b465f6d3aee.txt
0932fe78f2158ab1.jpg,0932fe78f2158ab1.txt
880b43526fa7b9c3.jpg,880b43526fa7b9c3.txt
8c4b25cfb732a15a.jpg,8c4b25cfb732a15a.txt
a3ddbe08622ddd15.jpg,a3ddbe08622ddd15.txt
500ca12c915bcbff.jpg,500ca12c915bcbff.txt
